path	class	sha256
.env.example	RECONSTRUCTED_EDITED_whitespace_unverified	4028645fa24d11b6766f445b7214b58d9596f81e64e652c1833db47231e18f33
.gitignore	BYTE_VERIFIED	95789437478ec9a567715c061b6f9038689ea1ecedd00fb40a989bfb1446b7a2
.lovable/mcp/manifest.json	RECONSTRUCTED_ADDED_LINES	b95795a5d53b152698a58ee9a72c0dd7a63120c8642050d70b9dce91b7c19d39
.lovable/plan.md	BYTE_VERIFIED	76026651c7c4d6150ecacc5564b158767ae22060b3e751f978ecfcd30b97ddac
.lovable/plan/architectural-audit-project-estimate-ui-duplication-and-over-2026-08-27.md	RECONSTRUCTED_ADDED_LINES	43d2ae5e20f8a9664fe4ddf33bcb482618aa5b60b43c885c74bb40823983fa67
.lovable/plan/audit-estimate-from-photos-or-video-remote-vision-2026-08-18.md	RECONSTRUCTED_ADDED_LINES	f28bcba16c8e158f3edeed90de739f8fe79c1631823d512695ab76ac663def42
.lovable/plan/automatic-vision-analysis-then-phrase-to-photo-binding-2026-08-26.md	RECONSTRUCTED_ADDED_LINES	6cde334e7d59059efb8658cdf36ef716907b641c17dd7e897d149341a0586d29
.lovable/plan/cabinet-measurement-regression-root-cause-audit-2026-08-18.md	RECONSTRUCTED_ADDED_LINES	0937bcfcc711e327a9841e44f35a80785b3a7228cf7d19e259e3670fefc11775
.lovable/plan/current-state-findings-language-vision-fusion-photo-referenc-2026-08-26.md	RECONSTRUCTED_ADDED_LINES	8006d6c10edb268016f78ba60504a0cf4e6a2d47039342ff0ece61c2374a2907
.lovable/plan/diagnostic-current-pricing-data-sourcing-read-only-findings-2026-08-26.md	RECONSTRUCTED_ADDED_LINES	ddea5d2337825ac547e16875c25a1d8771462e9503268c02657eac93396d5399
.lovable/plan/diagnostic-latest-94-inch-cabinet-bank-estimate-2026-08-18.md	RECONSTRUCTED_ADDED_LINES	aed110b2ef9e926211ab6e42c56483b86dbb78074713c080cf5c328827de11a5
